nombre_embalse	fecha	hora	cota
RALCO	2022-01-01	17	720,14
RAPEL	2022-01-01	17	104,01
ANGOSTURA	2022-01-01	18	316,48
CHAPO	2022-01-01	18	234,71
COLBUN	2022-01-01	18	429,91
INVERNADA	2022-01-01	18	1293,14
LAJA	2022-01-01	18	1319,33
MACHICURA	2022-01-01	18	256,56
MAULE	2022-01-01	18	2161,07
MELADO	2022-01-01	18	642,51
PANGUE	2022-01-01	18	509,54
POLCURA	2022-01-01	18	734,44
RALCO	2022-01-01	18	720,14
RAPEL	2022-01-01	18	104,01
ANGOSTURA	2022-01-01	19	316,47
CHAPO	2022-01-01	19	234,78
COLBUN	2022-01-01	19	429,92
INVERNADA	2022-01-01	19	1293,14
LAJA	2022-01-01	19	1319,33
MACHICURA	2022-01-01	19	256,51
MAULE	2022-01-01	19	2161,03
MELADO	2022-01-01	19	642,33
PANGUE	2022-01-01	19	509,5
POLCURA	2022-01-01	19	734,52
RALCO	2022-01-01	19	720,15
RAPEL	2022-01-01	19	104,01
ANGOSTURA	2022-01-01	20	316,46
CHAPO	2022-01-01	20	234,82
COLBUN	2022-01-01	20	429,92
INVERNADA	2022-01-01	20	1293,14
LAJA	2022-01-01	20	1319,33
MACHICURA	2022-01-01	20	256,48
MAULE	2022-01-01	20	2161,03
MELADO	2022-01-01	20	642,11
PANGUE	2022-01-01	20	509,46
POLCURA	2022-01-01	20	734,58
RALCO	2022-01-01	20	720,14
RAPEL	2022-01-01	20	104,01
ANGOSTURA	2022-01-01	21	316,45
CHAPO	2022-01-01	21	234,86
COLBUN	2022-01-01	21	429,94
INVERNADA	2022-01-01	21	1293,13
LAJA	2022-01-01	21	1319,33
MACHICURA	2022-01-01	21	256,49
MAULE	2022-01-01	21	2161,03
MELADO	2022-01-01	21	641,94
PANGUE	2022-01-01	21	509,45
POLCURA	2022-01-01	21	734,75
RALCO	2022-01-01	21	720,12
RAPEL	2022-01-01	21	104,01
ANGOSTURA	2022-01-01	22	316,46
CHAPO	2022-01-01	22	234,86
COLBUN	2022-01-01	22	429,95
INVERNADA	2022-01-01	22	1293,13
LAJA	2022-01-01	22	1319,33
MACHICURA	2022-01-01	22	256,49
MAULE	2022-01-01	22	2161,03
MELADO	2022-01-01	22	641,78
PANGUE	2022-01-01	22	509,47
POLCURA	2022-01-01	22	734,83
RALCO	2022-01-01	22	720,13
RAPEL	2022-01-01	22	104,01
ANGOSTURA	2022-01-01	23	316,47
CHAPO	2022-01-01	23	234,9
COLBUN	2022-01-01	23	429,95
INVERNADA	2022-01-01	23	1293,13
LAJA	2022-01-01	23	1319,33
MACHICURA	2022-01-01	23	256,49
MAULE	2022-01-01	23	2161,02
MELADO	2022-01-01	23	641,65
PANGUE	2022-01-01	23	509,49
POLCURA	2022-01-01	23	734,91
RALCO	2022-01-01	23	720,12
RAPEL	2022-01-01	23	104,01
ANGOSTURA	2022-01-01	24	316,49
CHAPO	2022-01-01	24	234,94
COLBUN	2022-01-01	24	429,96
INVERNADA	2022-01-01	24	1293,14
LAJA	2022-01-01	24	1319,23
MACHICURA	2022-01-01	24	256,49
MAULE	2022-01-01	24	2161,04
MELADO	2022-01-01	24	641,51
PANGUE	2022-01-01	24	509,51
POLCURA	2022-01-01	24	735,0
RALCO	2022-01-01	24	720,11
RAPEL	2022-01-01	24	104,01
ANGOSTURA	2022-01-02	1	316,5
CHAPO	2022-01-02	1	235,0
COLBUN	2022-01-02	1	429,96
INVERNADA	2022-01-02	1	1293,14
LAJA	2022-01-02	1	1319,23
MACHICURA	2022-01-02	1	256,55
MAULE	2022-01-02	1	2161,03
MELADO	2022-01-02	1	641,51
PANGUE	2022-01-02	1	509,53
POLCURA	2022-01-02	1	735,07
RALCO	2022-01-02	1	720,1
RAPEL	2022-01-02	1	104,01
ANGOSTURA	2022-01-02	2	316,52
CHAPO	2022-01-02	2	235,02
COLBUN	2022-01-02	2	429,94
INVERNADA	2022-01-02	2	1293,14
LAJA	2022-01-02	2	1319,23
MACHICURA	2022-01-02	2	256,6
MAULE	2022-01-02	2	2161,02
MELADO	2022-01-02	2	641,63
PANGUE	2022-01-02	2	509,54
POLCURA	2022-01-02	2	735,02
RALCO	2022-01-02	2	720,11
RAPEL	2022-01-02	2	104,01
ANGOSTURA	2022-01-02	3	316,53
CHAPO	2022-01-02	3	235,08
COLBUN	2022-01-02	3	429,92
INVERNADA	2022-01-02	3	1293,14
LAJA	2022-01-02	3	1319,23
